Feature,Importancia,Porcentaje,Porcentaje_Acumulado,Modelo
HT_HomeGoals5,0.008630513015204337,0.8630513015204337,79.81388587448859,1X2 Sin Cuotas
AT_Pts10,0.008027363020385937,0.8027363020385937,80.61662217652719,1X2 Sin Cuotas
HT_GoalsFor10,0.0077461354769390615,0.7746135476939061,81.39123572422109,1X2 Sin Cuotas
HT_AvgGoals,0.007560818445562545,0.7560818445562545,82.14731756877734,1X2 Sin Cuotas
HT_GoalsFor5,0.007429831486105298,0.7429831486105298,82.89030071738787,1X2 Sin Cuotas
AT_GoalsFor5,0.0074073974632629346,0.7407397463262935,83.63104046371417,1X2 Sin Cuotas
AT_GoalsFor10,0.006930013318959989,0.6930013318959989,84.32404179561017,1X2 Sin Cuotas
HT_Pts10,0.00692430938912256,0.6924309389122559,85.01647273452242,1X2 Sin Cuotas
AT_GoalsAgainst5,0.006915003530190733,0.6915003530190733,85.7079730875415,1X2 Sin Cuotas
HT_Pressure,0.006886510173880017,0.6886510173880017,86.3966241049295,1X2 Sin Cuotas
H2H_Home_Win_Rate,0.00683097830856582,0.683097830856582,87.07972193578608,1X2 Sin Cuotas
H2H_Win_Advantage,0.006745657327508552,0.6745657327508552,87.75428766853693,1X2 Sin Cuotas
HT_Pts5,0.006458614347965148,0.6458614347965148,88.40014910333345,1X2 Sin Cuotas
HT_GoalsFor3,0.006384950885208013,0.6384950885208013,89.03864419185425,1X2 Sin Cuotas
H2H_BTTS_Rate,0.006372069143480617,0.6372069143480618,89.6758511062023,1X2 Sin Cuotas
AT_AvgGoals,0.006247880785765207,0.6247880785765207,90.30063918477882,1X2 Sin Cuotas
H2H_Home_Consistent,0.0062170826236849185,0.6217082623684919,90.9223474471473,1X2 Sin Cuotas
AT_AwayGoals5,0.006196646484499187,0.6196646484499188,91.54201209559722,1X2 Sin Cuotas
HT_GoalsAgainst5,0.006097517757275228,0.6097517757275228,92.15176387132473,1X2 Sin Cuotas
AT_Pressure,0.005934298016773512,0.5934298016773512,92.74519367300208,1X2 Sin Cuotas
AT_Pts5,0.005719419459113214,0.5719419459113214,93.3171356189134,1X2 Sin Cuotas
AT_Pts3,0.005307473639136647,0.5307473639136647,93.84788298282706,1X2 Sin Cuotas
AT_GoalsFor3,0.004966617092965098,0.49666170929650977,94.34454469212356,1X2 Sin Cuotas
HT_Pts3,0.004784902524105961,0.47849025241059606,94.82303494453416,1X2 Sin Cuotas
HT_Streak,0.0047059670240020765,0.4705967024002077,95.29363164693436,1X2 Sin Cuotas
AT_Streak,0.004049957552997446,0.40499575529974463,95.69862740223411,1X2 Sin Cuotas
HT_HomeWinRate5,0.003940029812964905,0.3940029812964905,96.0926303835306,1X2 Sin Cuotas
H2H_Matches,0.003687318566030711,0.3687318566030711,96.46136224013368,1X2 Sin Cuotas
AT_Form_D,0.003531751768259146,0.3531751768259146,96.8145374169596,1X2 Sin Cuotas
HT_WinRate5,0.003262071502706126,0.3262071502706126,97.14074456723021,1X2 Sin Cuotas
AT_Form_L,0.0030647007699293,0.30647007699293,97.44721464422314,1X2 Sin Cuotas
AT_Form_W,0.0030418734729869543,0.30418734729869545,97.75140199152183,1X2 Sin Cuotas
HT_Form_D,0.0030074801754417357,0.3007480175441736,98.05215000906601,1X2 Sin Cuotas
HT_Form_L,0.003005984466599337,0.3005984466599337,98.35274845572594,1X2 Sin Cuotas
HT_Form_W,0.002974182636248044,0.2974182636248044,98.65016671935075,1X2 Sin Cuotas
AT_AwayWinRate5,0.0029343260917570942,0.2934326091757094,98.94359932852646,1X2 Sin Cuotas
AT_WinRate5,0.0025677897166052578,0.25677897166052577,99.20037830018698,1X2 Sin Cuotas
Calendar_Congestion_Diff,0.0022748460732599407,0.22748460732599407,99.42786290751297,1X2 Sin Cuotas
Position_Reliability,0.001994235026806534,0.1994235026806534,99.62728641019363,1X2 Sin Cuotas
HT_Games_15d,0.0018261947581206955,0.18261947581206955,99.80990588600571,1X2 Sin Cuotas
AT_Games_15d,0.0015466331775129871,0.1546633177512987,99.96456920375701,1X2 Sin Cuotas
AT_Had_Europa,0.00021714615942948463,0.021714615942948462,99.98628381969996,1X2 Sin Cuotas
HT_Had_Europa,0.00013716180299975123,0.013716180299975123,99.99999999999994,1X2 Sin Cuotas
HT_xG_Avg,0.04628853499889374,4.6288533210754395,4.6288533210754395,Over/Under 2.5
AT_Over25_Rate5,0.04326051473617554,4.326051712036133,8.954904556274414,Over/Under 2.5
AT_BTTS_Rate5,0.04286307469010353,4.286307334899902,13.241211891174316,Over/Under 2.5
HT_AvgShotsTarget,0.03900660574436188,3.900660514831543,17.14187240600586,Over/Under 2.5
HT_ShotsTarget5,0.038452088832855225,3.8452088832855225,20.98708152770996,Over/Under 2.5
AT_TotalGoals5,0.036118827760219574,3.6118826866149902,24.59896469116211,Over/Under 2.5
H2H_Over25_Rate,0.03535822406411171,3.5358223915100098,28.13478660583496,Over/Under 2.5
AT_AvgShotsTarget,0.03527013212442398,3.5270133018493652,31.661800384521484,Over/Under 2.5
AT_Days_Rest,0.03517032042145729,3.5170321464538574,35.1788330078125,Over/Under 2.5
xG_Total,0.03485685586929321,3.4856855869293213,38.664520263671875,Over/Under 2.5
HT_Over25_Rate5,0.0342068113386631,3.4206812381744385,42.085201263427734,Over/Under 2.5
Elo_Diff,0.033111441880464554,3.3111441135406494,45.39634704589844,Over/Under 2.5
xG_Diff,0.03293502330780029,3.2935023307800293,48.689849853515625,Over/Under 2.5
HT_Elo,0.03286803513765335,3.2868034839630127,51.976654052734375,Over/Under 2.5
HT_Days_Rest,0.03260241821408272,3.260241746902466,55.23689651489258,Over/Under 2.5
HT_xGA_Avg,0.0319766029715538,3.197660207748413,58.43455505371094,Over/Under 2.5
HT_xG_Residual5,0.03185224160552025,3.1852240562438965,61.61977767944336,Over/Under 2.5
HT_Shots5,0.03142460808157921,3.142460823059082,64.76223754882812,Over/Under 2.5
HT_BTTS_Rate5,0.030827699229121208,3.0827698707580566,67.84500885009766,Over/Under 2.5
H2H_BTTS_Rate,0.030660204589366913,3.0660204887390137,70.91102600097656,Over/Under 2.5
AT_xG_Avg,0.030374500900506973,3.037450075149536,73.94847869873047,Over/Under 2.5
H2H_Total_Goals_Avg,0.0300151314586401,3.0015132427215576,76.94998931884766,Over/Under 2.5
AT_Elo,0.029786795377731323,2.978679656982422,79.92866516113281,Over/Under 2.5
AT_Shots5,0.028934262692928314,2.8934261798858643,82.82209014892578,Over/Under 2.5
