fecha,local,visitante,resultado_predicho,prob_modelo,cuota_apertura,cuota_cierre,prob_apertura_fair,prob_cierre_fair,clv,edge_vs_apertura,edge_vs_cierre,resultado_real,acierto,stake,cuota_apostada,pnl,pnl_acumulado,timestamp
2025-01-15 00:00:00,Leicester,Crystal Palace,Visitante,0.5752,1.91,1.91,0.495,0.4953,0.0004,0.0802,0.0798,2,True,10.0,1.91,9.1,34843.3,2026-03-14T00:34:45.193809
2025-01-15 00:00:00,Newcastle,Wolves,Local,0.5403,1.36,1.36,0.7056,0.6881,-0.0175,-0.1653,-0.1478,0,True,10.0,1.36,3.6,34846.9,2026-03-14T00:34:45.198239
2025-01-16 00:00:00,Man United,Southampton,Local,0.6468,1.29,1.27,0.7403,0.747,0.0067,-0.0935,-0.1002,0,True,10.0,1.29,2.9,34849.8,2026-03-14T00:34:45.201012
2025-01-16 00:00:00,Ipswich,Brighton,Visitante,0.5364,1.91,1.95,0.4985,0.4834,-0.0151,0.0378,0.053,2,True,10.0,1.91,9.1,34858.9,2026-03-14T00:34:45.202910
2025-01-18 00:00:00,Arsenal,Aston Villa,Local,0.6813,1.5,1.53,0.6329,0.6181,-0.0148,0.0484,0.0632,1,False,10.0,1.5,-10.0,34848.9,2026-03-14T00:34:45.204913
2025-01-18 00:00:00,Brentford,Liverpool,Visitante,0.6472,1.42,1.48,0.6656,0.6438,-0.0218,-0.0184,0.0034,2,True,10.0,1.42,4.2,34853.1,2026-03-14T00:34:45.207542
2025-01-18 00:00:00,Leicester,Fulham,Visitante,0.5007,1.8,1.8,0.5257,0.5301,0.0044,-0.025,-0.0294,2,True,10.0,1.8,8.0,34861.1,2026-03-14T00:34:45.210117
2025-01-18 00:00:00,Newcastle,Bournemouth,Local,0.4595,1.62,1.65,0.5849,0.5804,-0.0045,-0.1253,-0.1209,2,False,10.0,1.62,-10.0,34851.1,2026-03-14T00:34:45.215209
2025-01-18 00:00:00,West Ham,Crystal Palace,Local,0.3909,2.6,2.75,0.3661,0.3434,-0.0227,0.0248,0.0475,2,False,10.0,2.6,-10.0,34841.1,2026-03-14T00:34:45.218898
2025-01-19 00:00:00,Everton,Tottenham,Visitante,0.3804,2.45,2.8,0.3883,0.3369,-0.0515,-0.008,0.0435,0,False,10.0,2.45,-10.0,34831.1,2026-03-14T00:34:45.222154
2025-01-19 00:00:00,Ipswich,Man City,Visitante,0.6645,1.36,1.4,0.6943,0.6757,-0.0186,-0.0297,-0.0112,2,True,10.0,1.36,3.6,34834.7,2026-03-14T00:34:45.225265
2025-01-19 00:00:00,Man United,Brighton,Local,0.3855,2.1,2.25,0.4505,0.4188,-0.0317,-0.065,-0.0334,2,False,10.0,2.1,-10.0,34824.7,2026-03-14T00:34:45.227920
2025-01-19 00:00:00,Nott'm Forest,Southampton,Local,0.5075,1.38,1.38,0.6835,0.6835,0.0,-0.176,-0.176,0,True,10.0,1.38,3.8,34828.5,2026-03-14T00:34:45.232956
2025-01-20 00:00:00,Chelsea,Wolves,Local,0.5868,1.36,1.45,0.6917,0.657,-0.0347,-0.1049,-0.0702,0,True,10.0,1.36,3.6,34832.1,2026-03-14T00:34:45.236933
2025-01-25 00:00:00,Southampton,Newcastle,Visitante,0.6192,1.42,1.44,0.6716,0.6559,-0.0158,-0.0524,-0.0366,2,True,10.0,1.42,4.2,34836.3,2026-03-14T00:34:45.239083
2025-01-25 00:00:00,Man City,Chelsea,Empate,0.3607,4.0,3.7,0.2402,0.2548,0.0146,0.1205,0.1059,0,False,10.0,4.0,-10.0,34826.3,2026-03-14T00:34:45.241506
2025-01-25 00:00:00,Wolves,Arsenal,Visitante,0.6449,1.45,1.6,0.6539,0.5959,-0.058,-0.009,0.049,2,True,10.0,1.45,4.5,34830.8,2026-03-14T00:34:45.245607
2025-01-25 00:00:00,Liverpool,Ipswich,Local,0.8291,1.08,1.11,0.8606,0.8511,-0.0095,-0.0315,-0.022,0,True,10.0,1.08,0.8,34831.6,2026-03-14T00:34:45.250467
2025-01-25 00:00:00,Brighton,Everton,Local,0.4493,1.67,1.73,0.5718,0.5525,-0.0193,-0.1225,-0.1032,2,False,10.0,1.67,-10.0,34821.6,2026-03-14T00:34:45.253860
2025-01-25 00:00:00,Bournemouth,Nott'm Forest,Local,0.4308,2.05,1.91,0.4636,0.4953,0.0317,-0.0328,-0.0645,0,True,10.0,2.05,10.5,34832.1,2026-03-14T00:34:45.257436
2025-01-26 00:00:00,Aston Villa,West Ham,Local,0.5285,1.53,1.45,0.6175,0.6505,0.033,-0.089,-0.122,1,False,10.0,1.53,-10.0,34822.1,2026-03-14T00:34:45.259728
2025-01-26 00:00:00,Crystal Palace,Brentford,Local,0.4491,2.05,1.95,0.4613,0.485,0.0238,-0.0122,-0.0359,2,False,10.0,2.05,-10.0,34812.1,2026-03-14T00:34:45.262074
2025-01-26 00:00:00,Fulham,Man United,Empate,0.3777,3.4,3.4,0.2797,0.2822,0.0025,0.098,0.0955,2,False,10.0,3.4,-10.0,34802.1,2026-03-14T00:34:45.265356
2025-01-26 00:00:00,Tottenham,Leicester,Local,0.6312,1.45,1.5,0.6548,0.6295,-0.0252,-0.0235,0.0017,2,False,10.0,1.45,-10.0,34792.1,2026-03-14T00:34:45.267706
2025-02-01 00:00:00,Newcastle,Fulham,Local,0.4975,1.7,1.7,0.5609,0.5575,-0.0034,-0.0634,-0.06,2,False,10.0,1.7,-10.0,34782.1,2026-03-14T00:34:45.269728
2025-02-01 00:00:00,Bournemouth,Liverpool,Visitante,0.4226,1.67,1.7,0.5692,0.5564,-0.0129,-0.1466,-0.1338,2,True,10.0,1.67,6.7,34788.8,2026-03-14T00:34:45.271914
2025-02-01 00:00:00,Everton,Leicester,Local,0.644,1.75,1.95,0.5389,0.488,-0.0509,0.1051,0.156,0,True,10.0,1.75,7.5,34796.3,2026-03-14T00:34:45.273990
2025-02-01 00:00:00,Ipswich,Southampton,Empate,0.4429,3.6,3.6,0.2636,0.2619,-0.0017,0.1793,0.1809,2,False,10.0,3.6,-10.0,34786.3,2026-03-14T00:34:45.275797
2025-02-01 00:00:00,Nott'm Forest,Brighton,Visitante,0.3394,2.8,2.7,0.336,0.3515,0.0156,0.0034,-0.0122,0,False,10.0,2.8,-10.0,34776.3,2026-03-14T00:34:45.278769
2025-02-01 00:00:00,Wolves,Aston Villa,Visitante,0.4766,2.1,2.2,0.4505,0.4283,-0.0222,0.0261,0.0483,0,False,10.0,2.1,-10.0,34766.3,2026-03-14T00:34:45.281673
2025-02-02 00:00:00,Brentford,Tottenham,Local,0.4153,2.1,1.91,0.4556,0.4943,0.0386,-0.0404,-0.079,2,False,10.0,2.1,-10.0,34756.3,2026-03-14T00:34:45.283804
2025-02-02 00:00:00,Man United,Crystal Palace,Local,0.3852,2.0,1.75,0.4767,0.5392,0.0625,-0.0915,-0.1541,2,False,10.0,2.0,-10.0,34746.3,2026-03-14T00:34:45.285617
2025-02-02 00:00:00,Arsenal,Man City,Local,0.4138,1.95,1.9,0.4891,0.5,0.0109,-0.0752,-0.0862,0,True,10.0,1.95,9.5,34755.8,2026-03-14T00:34:45.288985
2025-02-03 00:00:00,Chelsea,West Ham,Local,0.6702,1.36,1.27,0.6867,0.7433,0.0566,-0.0165,-0.0731,0,True,10.0,1.36,3.6,34759.4,2026-03-14T00:34:45.291384
2025-02-12 00:00:00,Everton,Liverpool,Visitante,0.7048,1.44,1.45,0.6614,0.6485,-0.0129,0.0434,0.0563,1,False,10.0,1.44,-10.0,34749.4,2026-03-14T00:34:45.293600
2025-02-14 00:00:00,Brighton,Chelsea,Empate,0.3931,3.6,3.7,0.263,0.2574,-0.0055,0.1302,0.1357,0,False,10.0,3.6,-10.0,34739.4,2026-03-14T00:34:45.296544
2025-02-15 00:00:00,Man City,Newcastle,Local,0.399,1.95,2.05,0.4866,0.4616,-0.0249,-0.0876,-0.0626,0,True,10.0,1.95,9.5,34748.9,2026-03-14T00:34:45.299035
